publish_date,rumor,fact,ents
2020/2/3,Fringe laboratory leak theory debunked,"A scientist from the Wuhan Institute of Virology of the Chinese Academy of Sciences has debunked a recent conspiracy theory that claimed the novel coronavirus was manufactured and escaped from the institute's most advanced biocontainment facility.
Shi Zhengli, a researcher from the institute, said on social media on Sunday that the virus was the result of ""nature punishing the uncivilized habits and customs of humans"", and she is willing to ""bet my life that it has nothing to do with the lab"".
Shi was the lead scientist in the discovery that the novel coronavirus can enter cells through the ACE2 receptors and may have originated in bats.
Her comments came after Indian scientists recently published a non-peer-reviewed paper suggesting that scientists had artificially inserted genes from the HIV virus into the coronavirus, thus making it susceptible to anti-HIV treatments.
The paper was immediately panned by experts around the world and was removed on Sunday from the server of bioRxiv, a biology journal repository.
In a twitter post commenting on the paper, David Liu, a chemistry professor at Harvard University, said: ""The mere claim that such short inserts support nCoV origins 'unlikely to be fortuitous in nature' is already highly suspect.""
The term nCoV refers to the novel coronavirus.
""This is a classic case of searching for lost keys only under a lamppost,"" Liu said. ""A fearful world does not need to fuel conspiracy theories with bad analyses.""
The Indian article was widely cited by conspiracy media outlets as proof that Chinese scientists had engineered the virus and that it had escaped from the institute's biosafety level-IV laboratory, the highest biohazard precaution standards designed to contain and study the world's most dangerous pathogens, including Ebola, smallpox, Lassa fever and Marburg virus.
The conspiracy theory began in late January when British tabloid the Daily Mail and the Washington Times, a conservative US newspaper, published articles claiming the recent outbreak could be the accidental result of secret biological weapons research in China.
Though the articles provided no evidence, the fringe theory quickly went viral on social media, prompting media outlets from the BBC to Foreign Policy to speak up against it.
On Jan 28, the Chinese embassy in Italy said in a statement that the theory is baseless, false reporting.
""China will continue to maintain an open, transparent and highly responsible attitude when publishing information regarding the outbreak,"" it said.
""While strengthening outbreak prevention and control, China will continue to deepen international cooperation and tackle the disease together with the international community and jointly maintain the safety and health of the region and the world.""","ACE2,Wuhan,novel coronavirus,Washington,Italy,China,US,coronavirus,outbreak,pathogens,susceptible"
2020/2/6,Researcher plays down talk of anti-virus drug success,"Too early to draw conclusions, says hospital chief. A drug undergoing clinical research at a hospital in Wuhan, Hubei province, has not yet proven to be effective in treating the novel coronavirus, despite rumors to the contrary, a scientist in charge of the research has said.Remdesivir, a drug being developed by United States-based pharmaceutical company Gilead, was being tested to see whether it could be used to treat patients with pneumonia caused by the virus in Wuhan Jinyintan Hospital, in Wuhan, the outbreak epicenter, on Wednesday.On Thursday evening rumors began spreading online saying the first day of trial had achieved a remarkable effect on 761 patients participating in the research.But Cao Bin, vice-president of the China-Japan Friendship Hospital, dismissed this, saying research has only just started and no results have been achieved yet, according to a report by China Youth Daily.In a statement at the end of last month, Gilead said Remdesivir had not gained approval to enter the market in any country, and its safety and effectiveness had not been proven.","Wuhan,novel coronavirus,Japan,China,coronavirus,outbreak,Hubei province"
2020/2/7,Is it dangerous to receive a letter or package from China?,"The fact is, it's safe to receive packages. Previous analysis has shown coronavirus does not survive long on objects, such as letters or packages.",coronavirus
2020/2/7,Has the CCDC withheld info on the novel coronavirus outbreak?,"A paper about the novel coronavirus published in The New England Journal of Medicine on Wednesday (Jan 29) has sparked a storm of criticism among Chinese netizens, some of whom claim the Chinese Center for Disease Control and Prevention has withheld important information about the outbreak. In the paper, a team of Chinese researchers, including those from the center, drew on data from 425 confirmed cases as of Jan 23 and stated ""there is evidence human-to-human transmission has occurred among close contacts since the middle of December 2019."" The conclusion has led some people to believe such evidence had already been discovered by Chinese researchers in December. Some have accused researchers and CDC officials of intentionally covering up the risk of transmission among people out of self-interest to gain academic clout. Is the allegation true? ""The conclusion is a deduction based on a retrospective study that looks back on epidemiology research of infected cases,"" the CDC said in a statement, reaffirming the risk of the virus spreading among people was not discovered at the onset of the outbreak in December. The center said information about the 425 cases analyzed in the paper, including the infection of 15 medical workers, had already been released to the public before researchers conducted the study. Evidence of person-to-person transmission of the coronavirus during the outbreak was first disclosed to the public by Zhong Nanshan - who leads a senior-level expert team convened by the National Health Commission - on Jan 20, before studies associated with the paper began. The center added the prompt release of research results on the virus in academic journals is meant to share the latest information with scientists in China and abroad, joining efforts to evaluate the outbreak and improve control measures.","confirmed,cases,novel coronavirus,transmission,who,China,coronavirus,outbreak"
2020/2/8,Can pets spread the new coronavirus?,"The fact is, at present, there's no evidence companion animals can be infected with the new coronavirus. And it's always a good idea to wash your hands with soap and water after contact with pets. This protects you against common bacteria such as E. coli and salmonella that can pass between pets and humans.",coronavirus
2020/2/8,Do vaccines against pneumonia protect you against the new coronavirus?,"The fact is, vaccines such as the pneumococcal vaccine and the Haemophilus influenza type B (Hib) vaccine do not provide protection against the new coronavirus. The virus is so new and different that it needs its own vaccine. Researchers are trying to develop a vaccine against 2019-nCoV, and the World Health Organization is supporting their efforts.","World Health Organization,coronavirus"
2020/2/8,Can regularly rinsing your nose with saline help prevent infection with the new coronavirus?,"The fact is, there is some limited evidence regularly rinsing nose with saline can help people recover more quickly from the common cold. However, regularly rinsing the nose has not been shown to prevent respiratory infection.",
2020/2/8,Can gargling mouthwash protect you from infection with the new coronavirus?,"The fact is, some brands of mouthwash can eliminate certain microbes for a few minutes in the saliva in your mouth. However, this does not mean they protect you from 2019-nCoV.",
2020/2/8,Can eating garlic help prevent infection with the new coronavirus?,"The fact is, there is no evidence that eating garlic does help, although garlic is a healthy food that may have some antimicrobial properties.",
2020/2/8,Does putting on sesame oil block the new coronavirus from entering the body?,"The fact is, sesame oil does not kill the new coronavirus. There are some chemical disinfectants that can kill the 2019-nCoV on surfaces. These include bleach/chlorine-based disinfectants, solvents, 75% ethanol, peracetic acid and chloroform. However, they have little or no impact on the virus if you put them on the skin or under your nose. It can even be dangerous to put these chemicals on your skin.",coronavirus
